id,coordinates/0,coordinates/1,status
LINK-000498,-73.98256354,40.76735759,active
LINK-000499,-73.995245,40.749537,active
LINK-000500,-73.99511,40.749728,active
LINK-000501,-73.99552538,40.74982748,active
LINK-000502,-73.994993,40.74988,active
LINK-000503,-73.99505137,40.75022678,active
LINK-000505,-73.99275642,40.75269979,active
LINK-000508,-73.992762,40.752949,active
LINK-000509,-73.99294717,40.75310732,active
LINK-000511,-73.9927184,40.75342475,active
LINK-000513,-73.99256281,40.75364209,active
LINK-000516,-73.991871,40.754171,active
LINK-000518,-73.99181602,40.75466587,active
LINK-000520,-73.99166162,40.75488084,active
LINK-000522,-73.99137086,40.75528084,active
LINK-000524,-73.991425,40.7555,active
LINK-000525,-73.99093285,40.75587809,active
LINK-000527,-73.98890049,40.75866608,active
LINK-000528,-73.98877954,40.75883097,active
LINK-000529,-73.98857946,40.75910666,active
LINK-000531,-73.98818717,40.75922149,active
LINK-000532,-74.00273531,40.73967748,active
LINK-000533,-73.98725149,40.76107343,active
LINK-000535,-73.986828,40.761094,active
LINK-000537,-74.002305,40.739846,active
LINK-000538,-74.00221656,40.73971856,active
LINK-000539,-73.98629301,40.76224616,active
LINK-000540,-73.986052,40.762151,active
LINK-000541,-73.985923,40.762331,active
LINK-000544,-73.98515741,40.76380275,active
LINK-000549,-73.984767,40.764338,active
LINK-000550,-73.98422945,40.76464619,active
LINK-000551,-73.98454459,40.76421225,active
LINK-000552,-73.98447,40.764744,active
LINK-000553,-73.98409944,40.76482318,active
LINK-000554,-73.98433343,40.76493291,active
LINK-000555,-73.983593,40.765522,active
LINK-000556,-73.98384519,40.76560072,active
LINK-000558,-73.98354761,40.76601142,active
LINK-000560,-73.98751478,40.76056304,active
LINK-000562,-73.98811386,40.75974624,active
LINK-000563,-73.98615577,40.76243064,active
LINK-000564,-73.987313,40.760283,active
LINK-000566,-73.986836,40.760895,active
LINK-000567,-73.986606,40.761816,active
LINK-000568,-73.98797229,40.75993686,active
LINK-000569,-73.98778563,40.75966968,active
LINK-000570,-74.00718506,40.7157269,installed
LINK-000600,-73.9842789,40.7403098,active
LINK-000601,-73.98392453,40.74009245,active
LINK-000603,-73.98376711,40.7410117,active
LINK-000606,-73.983198,40.741481,active
LINK-000612,-73.983048,40.742139,active
LINK-000626,-73.97036918,40.7598074,active
LINK-000634,-73.981797,40.743229,active
LINK-000636,-73.96867055,40.76063098,active
LINK-000637,-73.97471723,40.75263649,active
LINK-000638,-73.98203855,40.74338446,active
LINK-000649,-73.98037405,40.7450706,installed
LINK-000650,-73.9799974,40.74559121,installed
LINK-000652,-73.98003507,40.74582381,active
LINK-000653,-73.9802333,40.74586329,active
LINK-000658,-73.9771946,40.74950281,active
LINK-000660,-73.9767944,40.75013253,active
LINK-000662,-73.97651851,40.7500145,active
LINK-000663,-73.9770118,40.75027937,active
LINK-000666,-73.97681673,40.75083273,active
LINK-000679,-73.97327607,40.7550884,installed
LINK-000684,-73.97126273,40.75679025,active
LINK-000686,-73.97170313,40.75779319,active
LINK-000692,-73.97007156,40.75980064,active
LINK-000697,-73.96880182,40.76173086,active
LINK-000698,-73.96839056,40.76155923,active
LINK-000700,-73.9823716,40.74832255,active
LINK-000703,-73.97220317,40.76232437,active
LINK-000711,-73.9815598,40.74983207,active
LINK-000712,-73.98123607,40.74998234,active
LINK-000726,-73.97973824,40.75233526,active
